	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0000000	Mapoly0016s0123.1.p, Mapoly0034s0008.1.p, Mapoly0035s0025.1.p, Mapoly0047s0021.1.p, Mapoly0060s0079.1.p	Niben101Ctg04390g00002.1, Niben101Scf00135g02003.1, Niben101Scf00135g02004.1, Niben101Scf00135g02006.1, Niben101Scf00135g03006.1, Niben101Scf00135g03007.1, Niben101Scf00135g03010.1, Niben101Scf00542g02004.1, Niben101Scf00542g02014.1, Niben101Scf05846g00004.1, Niben101Scf05846g00013.1, Niben101Scf05846g00015.1, Niben101Scf06413g02011.1, Niben101Scf07160g00008.1, Niben101Scf07160g00025.1, Niben101Scf08091g00002.1, Niben101Scf08091g00003.1, Niben101Scf08091g00004.1, Niben101Scf08091g00005.1, Niben101Scf08091g00009.1, Niben101Scf08979g00003.1, Niben101Scf08979g00005.1, Niben101Scf12498g00001.1, Niben101Scf12498g00015.1, Niben101Scf12498g00018.1
OG0000001	Mapoly0022s0188.1.p, Mapoly0039s0085.1.p, Mapoly0149s0020.1.p, Mapoly0190s0017.1.p	Niben101Ctg14008g00002.1, Niben101Scf00669g00008.1, Niben101Scf01300g02011.1, Niben101Scf01300g04001.1, Niben101Scf02405g04013.1, Niben101Scf02476g03009.1, Niben101Scf02476g03010.1, Niben101Scf02502g08002.1, Niben101Scf03223g00003.1, Niben101Scf04007g02018.1, Niben101Scf04296g00015.1, Niben101Scf04875g02008.1, Niben101Scf06344g00005.1, Niben101Scf06344g01003.1, Niben101Scf06344g01019.1, Niben101Scf06809g00012.1, Niben101Scf07563g02008.1, Niben101Scf11183g00001.1, Niben101Scf12919g00005.1, Niben101Scf12919g00008.1, Niben101Scf12919g00011.1, Niben101Scf12919g00023.1, Niben101Scf12919g00035.1, Niben101Scf12919g00036.1, Niben101Scf15817g01009.1
OG0000002	Mapoly0003s0266.1.p, Mapoly0008s0190.1.p, Mapoly0008s0192.1.p, Mapoly0034s0001.1.p, Mapoly0055s0085.1.p, Mapoly0055s0086.1.p, Mapoly0056s0066.1.p, Mapoly0083s0097.1.p, Mapoly0094s0079.1.p, Mapoly0094s0080.1.p, Mapoly0095s0035.1.p, Mapoly0122s0058.1.p, Mapoly0122s0060.1.p, Mapoly0122s0061.1.p, Mapoly0177s0022.1.p, Mapoly0201s0001.1.p, Mapoly0201s0002.1.p, Mapoly0202s0019.1.p, Mapoly0264s0001.1.p, Mapoly0596s0001.1.p, Mapoly0751s0001.1.p, Mapoly1902s0001.1.p, Mapoly1958s0001.1.p, Mapoly2351s0001.1.p, Mapoly2423s0001.1.p	Niben101Scf01184g09001.1, Niben101Scf08767g00001.1
OG0000003	Mapoly0001s0533.1.p, Mapoly0053s0087.1.p	Niben101Scf00343g00002.1, Niben101Scf00343g01004.1, Niben101Scf00343g02001.1, Niben101Scf00343g02002.1, Niben101Scf00343g03002.1, Niben101Scf00941g03001.1, Niben101Scf00941g03004.1, Niben101Scf01188g00005.1, Niben101Scf01188g00028.1, Niben101Scf01188g01001.1, Niben101Scf01188g01007.1, Niben101Scf01599g02007.1, Niben101Scf01599g03001.1, Niben101Scf02429g05008.1, Niben101Scf02864g04011.1, Niben101Scf03350g09009.1, Niben101Scf03350g09015.1, Niben101Scf03350g09017.1, Niben101Scf03350g09018.1, Niben101Scf04081g03014.1, Niben101Scf09087g01022.1, Niben101Scf09151g02004.1, Niben101Scf09215g00003.1, Niben101Scf10067g00004.1, Niben101Scf13950g01011.1
OG0000004	Mapoly0024s0005.1.p, Mapoly0024s0006.1.p, Mapoly0038s0001.1.p, Mapoly0038s0002.1.p, Mapoly0038s0003.1.p, Mapoly0038s0004.1.p, Mapoly0038s0112.1.p, Mapoly0091s0043.1.p, Mapoly0145s0006.1.p, Mapoly0145s0008.1.p, Mapoly0145s0009.1.p, Mapoly0145s0011.1.p, Mapoly0145s0012.1.p, Mapoly0237s0003.1.p, Mapoly0237s0004.1.p, Mapoly0237s0005.1.p, Mapoly0391s0001.1.p, Mapoly0595s0001.1.p, Mapoly0654s0001.1.p, Mapoly0967s0001.1.p, Mapoly0994s0001.1.p	Niben101Scf00180g08002.1, Niben101Scf04384g02012.1, Niben101Scf04384g02013.1, Niben101Scf04384g02014.1, Niben101Scf09989g01025.1
OG0000005	Mapoly0007s0015.1.p, Mapoly0010s0128.1.p, Mapoly0014s0162.1.p, Mapoly0016s0164.1.p, Mapoly0016s0165.1.p, Mapoly0016s0166.1.p, Mapoly0016s0167.1.p, Mapoly0016s0168.1.p, Mapoly0024s0130.1.p, Mapoly0044s0064.1.p, Mapoly0049s0015.1.p, Mapoly0059s0034.1.p, Mapoly0062s0059.1.p, Mapoly0062s0119.1.p, Mapoly0062s0120.1.p, Mapoly0064s0093.1.p, Mapoly0064s0096.1.p, Mapoly0067s0038.1.p, Mapoly0107s0021.1.p, Mapoly0120s0017.1.p, Mapoly0120s0019.1.p, Mapoly0200s0002.1.p, Mapoly0893s0001.1.p, Mapoly1012s0001.1.p, Mapoly1060s0002.1.p, Mapoly2546s0001.1.p	
OG0000006	Mapoly0213s0014.1.p	Niben101Scf00165g05007.1, Niben101Scf00165g05008.1, Niben101Scf00254g05006.1, Niben101Scf00616g01009.1, Niben101Scf01189g01003.1, Niben101Scf01451g02003.1, Niben101Scf01490g00001.1, Niben101Scf01701g12003.1, Niben101Scf01701g12017.1, Niben101Scf01750g08006.1, Niben101Scf02029g01003.1, Niben101Scf03050g03006.1, Niben101Scf03050g03007.1, Niben101Scf03302g00011.1, Niben101Scf04418g04003.1, Niben101Scf04660g00009.1, Niben101Scf04861g01012.1, Niben101Scf06486g00002.1, Niben101Scf06879g00001.1, Niben101Scf07346g02005.1, Niben101Scf07991g03004.1, Niben101Scf08263g04004.1, Niben101Scf08488g03002.1, Niben101Scf10889g01018.1, Niben101Scf38556g00006.1
OG0000007	Mapoly0034s0017.1.p	Niben101Scf00104g02014.1, Niben101Scf00286g01008.1, Niben101Scf00286g03002.1, Niben101Scf01015g00011.1, Niben101Scf01696g04006.1, Niben101Scf01696g04007.1, Niben101Scf02572g02001.1, Niben101Scf02572g04005.1, Niben101Scf02572g04006.1, Niben101Scf02635g00003.1, Niben101Scf03422g01014.1, Niben101Scf03652g03003.1, Niben101Scf03701g01013.1, Niben101Scf03817g12028.1, Niben101Scf04252g01008.1, Niben101Scf04829g02001.1, Niben101Scf07230g00001.1, Niben101Scf08222g03007.1, Niben101Scf08351g06011.1, Niben101Scf10512g00001.1, Niben101Scf12159g09021.1, Niben101Scf16714g00001.1, Niben101Scf24082g00005.1, Niben101Scf24330g00001.1, Niben101Scf28593g00003.1
OG0000008	Mapoly0041s0107.1.p, Mapoly0041s0108.1.p, Mapoly0041s0153.1.p, Mapoly0041s0155.1.p, Mapoly0051s0116.1.p, Mapoly0051s0117.1.p, Mapoly0111s0045.1.p, Mapoly0153s0001.1.p, Mapoly0164s0026.1.p, Mapoly0164s0028.1.p, Mapoly0164s0029.1.p, Mapoly0201s0004.1.p, Mapoly0215s0001.1.p, Mapoly0215s0002.1.p, Mapoly0273s0002.1.p, Mapoly0288s0001.1.p, Mapoly0288s0002.1.p, Mapoly0288s0003.1.p, Mapoly0304s0001.1.p, Mapoly0304s0002.1.p, Mapoly1008s0001.1.p, Mapoly1588s0001.1.p, Mapoly1684s0001.1.p, Mapoly2454s0001.1.p, Mapoly2704s0001.1.p	
OG0000009	Mapoly0632s0001.1.p	Niben101Scf00453g04007.1, Niben101Scf00980g06001.1, Niben101Scf00980g06015.1, Niben101Scf00980g07017.1, Niben101Scf01274g08008.1, Niben101Scf02575g02002.1, Niben101Scf02653g06003.1, Niben101Scf02913g00018.1, Niben101Scf02913g00030.1, Niben101Scf03283g04003.1, Niben101Scf03580g00003.1, Niben101Scf04393g00015.1, Niben101Scf04393g00016.1, Niben101Scf05135g01007.1, Niben101Scf05177g00008.1, Niben101Scf05177g00012.1, Niben101Scf05188g00002.1, Niben101Scf06525g03016.1, Niben101Scf07969g01019.1, Niben101Scf08519g03018.1, Niben101Scf11305g01014.1, Niben101Scf11954g01001.1, Niben101Scf13683g01020.1, Niben101Scf13683g02003.1
OG0000010	Mapoly0031s0032.1.p	Niben101Scf00369g04021.1, Niben101Scf00612g01002.1, Niben101Scf02325g01007.1, Niben101Scf02325g03024.1, Niben101Scf03147g09006.1, Niben101Scf03147g10010.1, Niben101Scf03147g10015.1, Niben101Scf03147g10016.1, Niben101Scf03197g02003.1, Niben101Scf03263g03004.1, Niben101Scf05404g09001.1, Niben101Scf05680g00024.1, Niben101Scf06080g00003.1, Niben101Scf06883g00001.1, Niben101Scf08130g00014.1, Niben101Scf08130g00015.1, Niben101Scf08130g00016.1, Niben101Scf10205g00003.1, Niben101Scf10205g00021.1, Niben101Scf10316g03001.1, Niben101Scf10316g03002.1, Niben101Scf10316g03003.1, Niben101Scf10316g03004.1, Niben101Scf35444g00004.1
OG0000011		Niben101Scf00039g01003.1, Niben101Scf00116g06001.1, Niben101Scf00116g06002.1, Niben101Scf00116g06003.1, Niben101Scf00271g07025.1, Niben101Scf00343g09002.1, Niben101Scf00944g01001.1, Niben101Scf01060g00002.1, Niben101Scf01061g04027.1, Niben101Scf01061g07011.1, Niben101Scf01061g07013.1, Niben101Scf01281g00001.1, Niben101Scf01281g00006.1, Niben101Scf01395g01016.1, Niben101Scf01395g02005.1, Niben101Scf01395g03002.1, Niben101Scf01395g03012.1, Niben101Scf01748g03002.1, Niben101Scf02411g01002.1, Niben101Scf03949g01009.1, Niben101Scf06357g03002.1, Niben101Scf06483g00007.1, Niben101Scf06483g01005.1, Niben101Scf06578g02005.1, Niben101Scf08208g04007.1
OG0000012	Mapoly0041s0030.1.p, Mapoly0041s0031.1.p, Mapoly0046s0051.1.p, Mapoly0046s0078.1.p, Mapoly0046s0079.1.p, Mapoly0054s0031.1.p, Mapoly0054s0034.1.p, Mapoly0057s0038.1.p, Mapoly0062s0055.1.p, Mapoly0062s0056.1.p, Mapoly0062s0057.1.p, Mapoly0062s0058.1.p, Mapoly0062s0060.1.p, Mapoly0062s0061.1.p, Mapoly0062s0122.1.p, Mapoly0062s0123.1.p, Mapoly0062s0124.1.p, Mapoly0062s0125.1.p, Mapoly0062s0126.1.p, Mapoly0062s0127.1.p, Mapoly0138s0017.1.p, Mapoly0138s0018.1.p	Niben101Scf05029g02002.1, Niben101Scf38767g00006.1
OG0000013		Niben101Scf00492g00010.1, Niben101Scf00492g01003.1, Niben101Scf00560g05006.1, Niben101Scf01386g00005.1, Niben101Scf01390g01004.1, Niben101Scf01557g05005.1, Niben101Scf01557g06005.1, Niben101Scf01634g07029.1, Niben101Scf01777g03010.1, Niben101Scf01998g03011.1, Niben101Scf02413g04005.1, Niben101Scf02476g04004.1, Niben101Scf03709g03002.1, Niben101Scf03973g00012.1, Niben101Scf03983g00029.1, Niben101Scf04404g01009.1, Niben101Scf04404g03001.1, Niben101Scf06727g00020.1, Niben101Scf07089g00006.1, Niben101Scf07089g02002.1, Niben101Scf07089g02004.1, Niben101Scf11008g01002.1, Niben101Scf11008g03003.1, Niben101Scf12290g01008.1
OG0000014		Niben101Scf00996g00017.1, Niben101Scf01001g06013.1, Niben101Scf01256g00003.1, Niben101Scf01264g00006.1, Niben101Scf01264g02001.1, Niben101Scf01386g00006.1, Niben101Scf01922g03013.1, Niben101Scf01987g00003.1, Niben101Scf02521g01012.1, Niben101Scf02626g05001.1, Niben101Scf02735g00011.1, Niben101Scf02869g02012.1, Niben101Scf03000g00014.1, Niben101Scf03000g00021.1, Niben101Scf04674g04010.1, Niben101Scf05519g02012.1, Niben101Scf07677g00006.1, Niben101Scf09502g00003.1, Niben101Scf11215g00026.1, Niben101Scf12094g00001.1, Niben101Scf12094g00012.1, Niben101Scf14102g00006.1, Niben101Scf15326g00005.1, Niben101Scf16812g00007.1
OG0000015	Mapoly0001s0180.1.p, Mapoly0005s0274.1.p, Mapoly0007s0222.1.p, Mapoly0011s0078.1.p, Mapoly0012s0101.1.p, Mapoly0015s0171.1.p, Mapoly0016s0195.1.p, Mapoly0020s0103.1.p, Mapoly0023s0007.1.p, Mapoly0025s0072.1.p, Mapoly0061s0079.1.p, Mapoly0070s0044.1.p, Mapoly0087s0004.1.p, Mapoly0116s0054.1.p, Mapoly0133s0044.1.p, Mapoly0136s0008.1.p, Mapoly0138s0010.1.p, Mapoly0146s0037.1.p, Mapoly0152s0005.1.p, Mapoly1864s0001.1.p, Mapoly1944s0001.1.p, Mapoly4328s0001.1.p, MapolyY_B0042.1.p	
OG0000016	Mapoly0004s0210.1.p, Mapoly0004s0211.1.p, Mapoly0004s0212.1.p, Mapoly0010s0216.1.p, Mapoly0010s0218.1.p, Mapoly0022s0064.1.p, Mapoly0046s0047.1.p, Mapoly0059s0049.1.p, Mapoly0085s0016.1.p, Mapoly0106s0001.1.p, Mapoly0108s0045.1.p, Mapoly0128s0002.1.p, Mapoly0128s0003.1.p, Mapoly0137s0023.1.p, Mapoly0166s0023.1.p, Mapoly0166s0024.1.p, Mapoly0166s0025.1.p, Mapoly0194s0013.1.p, Mapoly0255s0002.1.p, Mapoly0497s0001.1.p, Mapoly0631s0001.1.p, Mapoly1893s0001.1.p, Mapoly2122s0001.1.p	
OG0000017	Mapoly0009s0115.1.p, Mapoly0073s0091.1.p	Niben101Scf00006g01002.1, Niben101Scf00448g18007.1, Niben101Scf00883g16003.1, Niben101Scf01154g18019.1, Niben101Scf01847g06002.1, Niben101Scf01847g07005.1, Niben101Scf01934g04001.1, Niben101Scf02658g01008.1, Niben101Scf02658g04011.1, Niben101Scf03367g01006.1, Niben101Scf03905g01007.1, Niben101Scf04223g01031.1, Niben101Scf04327g02022.1, Niben101Scf04327g02023.1, Niben101Scf05872g02002.1, Niben101Scf07567g01008.1, Niben101Scf09052g01003.1, Niben101Scf10363g01012.1, Niben101Scf11366g00002.1, Niben101Scf12102g02009.1, Niben101Scf12364g00008.1
OG0000018	Mapoly0015s0130.1.p, Mapoly0023s0113.1.p, Mapoly0122s0001.1.p, Mapoly0122s0002.1.p, Mapoly0129s0001.1.p, Mapoly0137s0035.1.p, Mapoly0160s0033.1.p, Mapoly0268s0002.1.p, Mapoly0363s0001.1.p, Mapoly0647s0001.1.p, Mapoly1037s0001.1.p, Mapoly1470s0002.1.p, Mapoly1649s0001.1.p, Mapoly2524s0001.1.p, Mapoly2608s0001.1.p, Mapoly2877s0001.1.p, Mapoly3096s0001.1.p	Niben101Scf00963g02006.1, Niben101Scf00975g00006.1, Niben101Scf00975g01015.1, Niben101Scf03925g01010.1
OG0000019	Mapoly0033s0039.1.p	Niben101Scf00103g00018.1, Niben101Scf01082g02022.1, Niben101Scf01082g03009.1, Niben101Scf01082g03010.1, Niben101Scf01082g03014.1, Niben101Scf01326g05011.1, Niben101Scf01569g01001.1, Niben101Scf01569g02006.1, Niben101Scf04104g06001.1, Niben101Scf04104g06004.1, Niben101Scf04612g00003.1, Niben101Scf05060g00002.1, Niben101Scf05855g01001.1, Niben101Scf05855g01010.1, Niben101Scf05855g01012.1, Niben101Scf05855g01022.1, Niben101Scf05855g01029.1, Niben101Scf13203g00006.1
